#Day Of Year:,263
#Event Date:,09/19/2024 09:52:50
#Original NetCDF file:,GLM-L2-LCFAG16s20242630952400e20242630953000c20242630953018.nc
#Platform:,G16
#Satellite (lat/lon/height):,0.0 / -75.199997 / 35786.02km
#Event Info:,
#Description:,
#Date Archived:,10/01/2024 18:20:42
#URL:,https://neo-bolide.ndc.nasa.gov
 
time (ms),longitude,latitude,energy (joules)
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53324127197266,-27.03484344482422,2.078269027954837e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53459930419922,-27.0349178314209,2.048272541973952e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.5330810546875,-27.034835815429688,1.7583074143272086e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53460693359375,-27.0349178314209,1.6683181257911434e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53292083740234,-27.034826278686523,1.5583314058099408e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53460693359375,-27.0349178314209,1.638321809216848e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53276824951172,-27.034818649291992,1.618324208365121e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53459930419922,-27.0349178314209,1.4783410024030337e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53462219238281,-27.03491973876953,1.3183601955892195e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53447723388672,-27.034912109375,1.2883637943116293e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53460693359375,-27.0349178314209,1.2583673930340392e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53430938720703,-27.034902572631836,1.098386586220225e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53460693359375,-27.0349178314209,1.1183841870719517e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.5341567993164,-27.034893035888672,8.884117772770938e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53460693359375,-27.0349178314209,8.484165755736402e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53399658203125,-27.03488540649414,9.384057794064107e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53459930419922,-27.0349178314209,1.1983745904788588e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.5338363647461,-27.03487777709961,1.6583194100685747e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53461456298828,-27.03491973876953,1.0083973823874545e-14
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53368377685547,-27.034868240356445,9.284069789805473e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53461456298828,-27.03491973876953,9.284069789805473e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53352355957031,-27.034860610961914,8.484165755736402e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53460693359375,-27.03491973876953,8.084213738701867e-15
Thu Sep 19 2024 02:52:50 GMT-0700 (Pacific Daylight Time),-113.53337097167969,-27.03485107421875,5.984465649270555e-15
